IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
8.210.65.1,2053,2053,true,HKG,Asia Pacific,Hong Kong,37,0.83
8.210.34.188,2082,2082,false,HKG,Asia Pacific,Hong Kong,30,0.82
47.242.252.237,8880,8880,false,HKG,Asia Pacific,Hong Kong,51,0.81
8.210.156.6,2086,2086,false,HKG,Asia Pacific,Hong Kong,63,0.81
47.243.169.63,2082,2082,false,HKG,Asia Pacific,Hong Kong,54,0.80
47.242.155.183,2087,2087,true,HKG,Asia Pacific,Hong Kong,20,0.80
8.210.100.23,8443,8443,true,HKG,Asia Pacific,Hong Kong,60,0.78
47.242.252.237,2053,2053,true,HKG,Asia Pacific,Hong Kong,23,0.78
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,28,0.78
8.210.192.93,2052,2052,false,HKG,Asia Pacific,Hong Kong,16,0.76
8.210.175.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,72,0.75
8.217.85.14,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,0.74
8.210.156.6,2052,2052,false,HKG,Asia Pacific,Hong Kong,45,0.71
47.242.157.96,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,0.68
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,51,0.68
47.243.169.63,8080,8080,false,HKG,Asia Pacific,Hong Kong,67,0.68
47.243.139.243,80,80,false,HKG,Asia Pacific,Hong Kong,79,0.67
8.217.121.207,2087,2087,true,HKG,Asia Pacific,Hong Kong,70,0.66
47.242.17.250,2082,2082,false,HKG,Asia Pacific,Hong Kong,55,0.64
8.210.192.93,2053,2053,true,HKG,Asia Pacific,Hong Kong,55,0.63
47.243.91.58,2095,2095,false,HKG,Asia Pacific,Hong Kong,21,0.63
8.217.250.222,80,80,false,HKG,Asia Pacific,Hong Kong,87,0.62
8.210.3.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,45,0.62
8.210.100.23,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,0.55
47.243.139.243,2087,2087,true,HKG,Asia Pacific,Hong Kong,75,0.52
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,54,0.51
8.210.34.188,8443,8443,true,HKG,Asia Pacific,Hong Kong,48,0.50
8.217.207.60,2095,2095,false,HKG,Asia Pacific,Hong Kong,70,0.50
47.242.17.250,2086,2086,false,HKG,Asia Pacific,Hong Kong,37,0.50
8.218.48.92,2095,2095,false,HKG,Asia Pacific,Hong Kong,36,0.49
8.218.2.181,8080,8080,false,HKG,Asia Pacific,Hong Kong,45,0.47
8.218.204.128,2096,2096,true,HKG,Asia Pacific,Hong Kong,28,0.47
47.243.107.148,8080,8080,false,HKG,Asia Pacific,Hong Kong,30,0.46
47.242.252.237,2082,2082,false,HKG,Asia Pacific,Hong Kong,47,0.42
47.243.91.58,8080,8080,false,HKG,Asia Pacific,Hong Kong,17,0.40
8.210.100.23,8080,8080,false,HKG,Asia Pacific,Hong Kong,52,0.38
8.210.146.108,8080,8080,false,HKG,Asia Pacific,Hong Kong,42,0.36
8.210.245.224,2052,2052,false,HKG,Asia Pacific,Hong Kong,41,0.30
47.242.17.250,80,80,false,HKG,Asia Pacific,Hong Kong,52,0.29
8.210.100.23,2087,2087,true,HKG,Asia Pacific,Hong Kong,17,0.29
47.243.91.58,2086,2086,false,HKG,Asia Pacific,Hong Kong,36,0.29
8.210.146.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,21,0.28
47.243.169.63,2095,2095,false,HKG,Asia Pacific,Hong Kong,26,0.23
8.210.146.108,2052,2052,false,HKG,Asia Pacific,Hong Kong,30,0.23
123.58.212.186,35123,443,true,HKG,Asia Pacific,Hong Kong,16,0.16
8.210.146.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,16,0.15
38.181.25.31,52001,443,true,HKG,Asia Pacific,Hong Kong,16,0.14
172.93.165.228,443,443,true,SIN,Asia Pacific,Singapore,34,0.11
45.207.11.69,8899,443,true,HKG,Asia Pacific,Hong Kong,23,0.11
39.126.44.106,37635,80,false,HKG,Asia Pacific,Hong Kong,320,0.10
118.26.38.134,443,443,true,HKG,Asia Pacific,Hong Kong,94,0.10
203.9.150.104,443,443,true,HKG,Asia Pacific,Hong Kong,329,0.09
154.204.60.218,29876,443,true,HKG,Asia Pacific,Hong Kong,121,0.08
118.193.33.119,27942,443,true,HKG,Asia Pacific,Hong Kong,42,0.08
38.207.179.191,33135,443,true,HKG,Asia Pacific,Hong Kong,119,0.06
38.181.35.164,12772,443,true,HKG,Asia Pacific,Hong Kong,54,0.05
154.204.56.238,34237,2096,true,HKG,Asia Pacific,Hong Kong,145,0.05
101.36.127.49,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.04
8.210.245.224,8080,8080,false,HKG,Asia Pacific,Hong Kong,64,0.02
8.210.92.27,443,443,true,HKG,Asia Pacific,Hong Kong,75,0.01
42.98.9.197,8880,80,false,HKG,Asia Pacific,Hong Kong,152,0.00
154.23.185.52,34237,2096,true,HKG,Asia Pacific,Hong Kong,65,0.00
8.210.245.224,2086,2086,false,HKG,Asia Pacific,Hong Kong,61,0.00
38.207.143.37,443,443,true,HKG,Asia Pacific,Hong Kong,256,0.00
23.247.139.48,30809,80,false,HKG,Asia Pacific,Hong Kong,61,0.00
47.242.57.106,443,443,true,HKG,Asia Pacific,Hong Kong,23,0.00
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,102,0.00
47.242.68.32,443,443,true,HKG,Asia Pacific,Hong Kong,47,0.00
47.242.79.71,8443,8443,true,HKG,Asia Pacific,Hong Kong,75,0.00
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,20,0.00
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,67,0.00
